img_path,Marke,Produktname,Original Preis,Reduzierter Preis,Gewicht
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\15\rewe_2449057_15_1559.png,Rewe Hausmarke,Zwiebelmettwurst,,1.90,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\15\rewe_2449057_15_1560.png,Quarkwerk,Quarkriegel,,0.60,40g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\15\rewe_2449057_15_1561.png,Merl,Zarte Heringsfilets in Sahnesauce,,3.00,500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\15\rewe_2449057_15_1564.png,Adler,Edelcreme Sahne,,1.00,100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\18\rewe_2449057_18_1573.png,Schweppes,versch. Sorten,,1.49,1.25l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\18\rewe_2449057_18_1577.png,Valensina,Saft,,1.79,1l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\18\rewe_2449057_18_1579.png,Becker's Bester,Säfte,,1.59,1l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\21\rewe_2449057_21_1593.png,Dallmayr,Classic,,4.99,500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\1\rossmann_2449857_1_1729.png,Facelle Diskret,Hygiene-Pants Super,6.39,4.99,8-10 Stück
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\1\rossmann_2449857_1_1733.png,Nivea,Dusche,,1.49,250ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\1\rossmann_2449857_1_1736.png,,Thermo-Nierenwärmer,,6.99,
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\7\rossmann_2449857_7_1936.png,Diadem,Coloration,,3.99,Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\7\rossmann_2449857_7_1938.png,L'Oreal,Elnett Haarspray,,3.99,300ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\7\rossmann_2449857_7_1939.png,Garnier,Olia Coloration,,5.49,Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\7\rossmann_2449857_7_1941.png,Garnier,Movida Intensiv-Tönung,,2.79,Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\7\rossmann_2449857_7_1946.png,Gliss,Glanz Tonic,,4.49,100ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\7\rossmann_2449857_7_1948.png,L'Oreal,Preference Coloration,,6.99,Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\7\rossmann_2449857_7_1950.png,L'Oreal,Elvital Haarkur,,3.49,300ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2527346\2\rossmann_2527346_2_13950.png,,Kratzbuch,,5.99,
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2527346\13\rossmann_2527346_13_13860.png,Red Bull,Energydrink,,0.99,250ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2527346\13\rossmann_2527346_13_13863.png,Milka,Favourites,,2.29,158g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2527346\13\rossmann_2527346_13_13866.png,Tic Tac,Apple Sour,,1.19,110 Stück / 54g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2527346\13\rossmann_2527346_13_13869.png,Knoppers,,,0.99,4 Stück / 100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2527346\13\rossmann_2527346_13_13870.png,ESN,Designer Whey Protein,,12.99,300g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2527346\13\rossmann_2527346_13_13877.png,Enerbio,Flohsamenschalen,5.29,3.99,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2527346\13\rossmann_2527346_13_13881.png,Kitkat,,,1.69,166g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\4\tegut_2450247_4_2389.png,Bioland tegut...,Bio-Kartoffeln,,2.99,1.5kg Papiertüte
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\4\tegut_2450247_4_2390.png,,Mini Gurken,,0.39,Stück
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\4\tegut_2450247_4_2392.png,tegut...,Mini-Datteltomaten,,1.99,250g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\4\tegut_2450247_4_2393.png,Bioland,Bio-Wirsing,,1.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\4\tegut_2450247_4_2394.png,,Bundmöhren,,0.99,Bund
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\6\tegut_2450247_6_2403.png,,Spießbraten,1.79,0.99,100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\6\tegut_2450247_6_2404.png,Robert Müller,Schweinehaxe,8.90,6.90,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\6\tegut_2450247_6_2405.png,,Bio-Rindertafelspitz,3.49,2.99,100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\6\tegut_2450247_6_2407.png,,Entrecote,,2.99,100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\10\tegut_2450247_10_2262.png,,Bio-Parmigiano Reggiano,3.99,2.99,100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\11\tegut_2450247_11_2269.png,Bauer,Zum Glück! Barista Drink,2.59,1.99,1l Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\11\tegut_2450247_11_2272.png,Ehrmann,Robby Fruchtquark,1.29,0.99,300g Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\15\tegut_2450247_15_2297.png,Eszet,Schnitten,1.19,0.99,75g Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\15\tegut_2450247_15_2298.png,Nescafe,Gold,,6.99,200g Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\15\tegut_2450247_15_2299.png,bionella,Bio-Nuss-Nougatcreme,4.29,3.49,400g Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\17\tegut_2450247_17_2316.png,Volvic,Bio-Essence,1.69,1.29,0.75l Flasche
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\17\tegut_2450247_17_2320.png,Grünland,Bio-Gemüsesaft,1.19,0.99,0.5l Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\21\tegut_2450247_21_2358.png,Rothaus,Tannenzäpfle Pils,,14.99,24x0.33l Fl./Kasten
